dataset,head,method,m,realizations,mean,median,minimum,maximum,std
internal,"[14, 0]",favor_plus,16,5,0.9999760289942095,0.9999830763901214,0.9999187611306632,0.9999995991024812,3.328810640019052e-05
internal,"[14, 0]",favor_plus,32,5,0.9999621926762504,0.9999509352232385,0.9999199739505972,0.9999989708864668,3.2643687495332086e-05
internal,"[14, 0]",favor_plus,64,5,1.0000231697598665,0.9999941484289085,0.9999235720043154,1.0002783961355501,0.00014705115493045295
internal,"[14, 0]",favor_plus,128,5,0.9999742417954361,0.999968607660997,0.9999211574641208,1.0000585713772197,5.556741754904029e-05
internal,"[14, 0]",favor_plus,640,1,0.9999607050996326,0.9999607050996326,0.9999607050996326,0.9999607050996326,
internal,"[14, 0]",centered_favor_plus,16,5,33.28977704616185,1.7524365745271233,1.0055280268254878,147.34754570981144,64.03465669163597
internal,"[14, 0]",centered_favor_plus,32,5,9.415439472157926,1.9464928080008923,1.0984424693282602,38.35301913736797,16.233181877128466
internal,"[14, 0]",centered_favor_plus,64,5,141.67121061673222,1.6250569124251628,1.0472543258252487,684.5911769167758,303.6106917176864
internal,"[14, 0]",centered_favor_plus,128,5,39.76428346458179,5.765506232043219,1.3589283298777435,171.99688579071469,74.16360058414547
internal,"[14, 0]",centered_favor_plus,640,1,8.675214471433042,8.675214471433042,8.675214471433042,8.675214471433042,
internal,"[14, 0]",sderf,16,5,850.0287860883453,21.29089490833913,1.3295198984601684,4198.087456012545,1871.657031537646
internal,"[14, 0]",sderf,32,5,823169.1052370802,65.87467191783466,1.3987623031875094,4114712.2742979806,1840028.623387803
internal,"[14, 0]",sderf,64,5,205825.80043815734,22.04968629668843,1.1306554363374182,1028675.1730763718,459986.8149297818
internal,"[14, 0]",sderf,128,5,58843.34076323909,356.80337889313864,8.611552358240253,257171.83424579166,111978.660630774
internal,"[14, 0]",sderf,640,1,11768.762563765033,11768.762563765033,11768.762563765033,11768.762563765033,
internal,"[14, 0]",aderf,16,5,6.277336685430694,1.4798368020947643,1.001462896944716,19.615921101209306,8.06696740198875
internal,"[14, 0]",aderf,32,5,1132381.1368800378,43.20319921327168,2.069701836614006,5576151.835241165,2484420.2981018606
internal,"[14, 0]",aderf,64,5,286319.3041591303,9214.58333139577,8.415412696781079,1394038.8989668034,619282.3092237734
internal,"[14, 0]",aderf,128,5,71686.84044662632,2304.5429131292276,20.32962198517952,349012.9040522853,155042.01306974303
internal,"[14, 0]",aderf,640,1,14337.587560881922,14337.587560881922,14337.587560881922,14337.587560881922,
internal,"[14, 0]",partition,16,1,0.2718942970329921,0.2718942970329921,0.2718942970329921,0.2718942970329921,
internal,"[14, 0]",partition,32,1,0.22054438176749944,0.22054438176749944,0.22054438176749944,0.22054438176749944,
internal,"[14, 0]",partition,64,1,0.2065490600260428,0.2065490600260428,0.2065490600260428,0.2065490600260428,
internal,"[14, 0]",partition,128,1,0.20328245484317584,0.20328245484317584,0.20328245484317584,0.20328245484317584,
internal,"[14, 0]",galerkin,16,1,0.17144137505973858,0.17144137505973858,0.17144137505973858,0.17144137505973858,
internal,"[14, 0]",galerkin,32,1,0.17129151114046443,0.17129151114046443,0.17129151114046443,0.17129151114046443,
internal,"[14, 0]",galerkin,64,1,0.17172238499482154,0.17172238499482154,0.17172238499482154,0.17172238499482154,
internal,"[14, 0]",galerkin,128,1,0.17180030700867427,0.17180030700867427,0.17180030700867427,0.17180030700867427,
internal,"[14, 6]",favor_plus,16,5,2.5454415523099456,1.1648403514929897,0.9991977628003622,5.4524410193689326,2.093880665140662
internal,"[14, 6]",favor_plus,32,5,1.4596438367838027,1.3851785864901776,0.9993438533351096,2.1029554054511346,0.47511765378663906
internal,"[14, 6]",favor_plus,64,5,295.936805275346,3.8765227552658454,1.0929105544913345,1371.0988704461106,602.6078405873493
internal,"[14, 6]",favor_plus,128,5,76.22585981880728,7.591751488872631,1.0248473740342499,343.7646675284612,149.90173565878663
internal,"[14, 6]",favor_plus,640,1,16.02997356820754,16.02997356820754,16.02997356820754,16.02997356820754,
internal,"[14, 6]",centered_favor_plus,16,5,194.24132761980033,4.196674686339795,1.054060272946837,780.1023925315573,336.7524000128861
internal,"[14, 6]",centered_favor_plus,32,5,54.08059286901758,15.298790685939835,1.1489645288489585,197.5074778432824,83.08042279973523
internal,"[14, 6]",centered_favor_plus,64,5,2976.079765831266,50.57624365045961,13.726326897291877,11630.420515677028,5024.676899231421
internal,"[14, 6]",centered_favor_plus,128,5,1853.7931835714749,1573.1334549000521,20.492049635297633,4707.592318805003,1994.8392753590183
internal,"[14, 6]",centered_favor_plus,640,1,371.42879809673815,371.42879809673815,371.42879809673815,371.42879809673815,
internal,"[14, 6]",sderf,16,5,1063.9971380907407,162.91280039375872,26.33793316975571,2912.2722129917825,1333.0577817312694
internal,"[14, 6]",sderf,32,5,141797.17401410604,896.0626918311391,13.563320331652639,703091.7109438835,313777.1700824517
internal,"[14, 6]",sderf,64,5,35673.75472810646,308.67355464978783,10.130168242945098,175774.49614012815,78322.66097604221
internal,"[14, 6]",sderf,128,5,21342.044577870718,6372.438039946167,9.408323181027834,56049.48967956863,26630.04213121906
internal,"[14, 6]",sderf,640,1,4269.1301393332415,4269.1301393332415,4269.1301393332415,4269.1301393332415,
internal,"[14, 6]",aderf,16,5,744.8020335683865,246.50495176754885,1.5965550054790463,2783.261066032369,1173.2898177107322
internal,"[14, 6]",aderf,32,5,233.29795508060653,172.66759200119978,41.18855292034323,701.00338606176,268.52012225761996
internal,"[14, 6]",aderf,64,5,10969.140665732355,45.18579988742871,17.374767106444025,54668.35614708275,24428.61453569868
internal,"[14, 6]",aderf,128,5,3228.607336511426,225.79452985127153,23.347383437011906,14131.880339048703,6132.993200935209
internal,"[14, 6]",aderf,640,1,646.4467227752956,646.4467227752956,646.4467227752956,646.4467227752956,
internal,"[14, 6]",partition,16,1,0.4693033231953576,0.4693033231953576,0.4693033231953576,0.4693033231953576,
internal,"[14, 6]",partition,32,1,0.46815731560686913,0.46815731560686913,0.46815731560686913,0.46815731560686913,
internal,"[14, 6]",partition,64,1,0.4676562612841022,0.4676562612841022,0.4676562612841022,0.4676562612841022,
internal,"[14, 6]",partition,128,1,0.4672798584008883,0.4672798584008883,0.4672798584008883,0.4672798584008883,
internal,"[14, 6]",galerkin,16,1,0.47051337991759645,0.47051337991759645,0.47051337991759645,0.47051337991759645,
internal,"[14, 6]",galerkin,32,1,0.47592195535435433,0.47592195535435433,0.47592195535435433,0.47592195535435433,
internal,"[14, 6]",galerkin,64,1,0.4776358095613762,0.4776358095613762,0.4776358095613762,0.4776358095613762,
internal,"[14, 6]",galerkin,128,1,0.4793719385114526,0.4793719385114526,0.4793719385114526,0.4793719385114526,
internal,"[27, 0]",favor_plus,16,5,1.000153645187492,1.0000006367715653,0.9999999749207616,1.0007062049696849,0.00031002538621275325
internal,"[27, 0]",favor_plus,32,5,1.0397106246336922,1.0000098606974919,0.9999998961291299,1.17974704393278,0.0787045661073015
internal,"[27, 0]",favor_plus,64,5,1.0144487104244244,1.0045405781334247,0.9999997099545355,1.0449270294442707,0.01941298096486568
internal,"[27, 0]",favor_plus,128,5,1.0062163354740203,1.0056460239851868,0.9999990334250165,1.013146667523587,0.005890761614682318
internal,"[27, 0]",favor_plus,640,1,1.0011731747104733,1.0011731747104733,1.0011731747104733,1.0011731747104733,
internal,"[27, 0]",centered_favor_plus,16,5,3863.235964375896,159.75260077244602,1.201572767974023,18313.914818274887,8085.308350529044
internal,"[27, 0]",centered_favor_plus,32,5,1041.3821738585195,207.98327836242942,4.5678394245791765,4579.280371968292,1982.9253603153666
internal,"[27, 0]",centered_favor_plus,64,5,2238.684615454863,767.7480328355899,53.79741320186684,9147.807173982066,3890.322751653801
internal,"[27, 0]",centered_favor_plus,128,5,668.2441800178276,233.47141760664599,16.456629968465084,2771.4089987088046,1182.3005910091426
internal,"[27, 0]",centered_favor_plus,640,1,134.35985111299772,134.35985111299772,134.35985111299772,134.35985111299772,
internal,"[27, 0]",sderf,16,5,2252.588036110082,567.0034350594534,74.46117982510985,6972.122859271745,2942.9321596702193
internal,"[27, 0]",sderf,32,5,804.2859444738577,831.0344885247956,89.19898899348789,1746.0076112582021,685.8155450750032
internal,"[27, 0]",sderf,64,5,1274.0976117188727,252.56488554422845,37.470478127982304,4161.417549551624,1777.238137803536
internal,"[27, 0]",sderf,128,5,8828.801061066593,1082.2517902140196,258.3894769890865,36943.1516150338,15825.2800691599
internal,"[27, 0]",sderf,640,1,1766.1074466608607,1766.1074466608607,1766.1074466608607,1766.1074466608607,
internal,"[27, 0]",aderf,16,5,925.6353738953705,832.275551329559,15.416870298407938,2007.7917072908638,831.4139552235663
internal,"[27, 0]",aderf,32,5,232.5338474025766,210.33738745347793,4.889269965357003,502.70029272017825,207.72635967878094
internal,"[27, 0]",aderf,64,5,69.7615115249358,53.33131992769367,2.098514307543415,144.99014413030778,64.06292182252136
