dataset,method,seeds,raw_nmse,raw_nmse_seed_range,balanced,balanced_seed_range,directional_kl,directional_kl_seed_range,mass,mass_seed_range,output_nmse,output_nmse_seed_range
fda,balanced,3,0.9496637542612384,"[0.9494254304285166, 0.9499428467211171]",0.7575950681931264,"[0.7482321516543855, 0.7632584602742828]",0.6465922723211713,"[0.6396910414834363, 0.6501645953590272]",0.11100279587195505,"[0.10854111017094922, 0.11333728015323226]",0.3981369627510896,"[0.39503923718891204, 0.4015609592166599]"
fda,exp_control,3,147190545452.8314,"[27723720952.699936, 267433225467.5398]",15309.727700005353,"[9580.350214685244, 19675.595815761146]",0.4984572666855671,"[0.49792465155489035, 0.499153917392315]",15309.22924273867,"[9579.851921454137, 19675.096661843756]",0.3384222004430523,"[0.33767408009700783, 0.3388457657237602]"
fda,factorized,3,0.8865379849619833,"[0.8827563006296975, 0.8896658275345337]",0.6670526371807804,"[0.6640441563717806, 0.6730304983166326]",0.5929885241898769,"[0.5890815684046207, 0.598581303779721]",0.07406411299090362,"[0.07278055646863915, 0.07496258796715992]",0.37122609069943513,"[0.3689544940709509, 0.3740456907859228]"
fda,factorized_both,3,0.8960502436373702,"[0.8910477655061024, 0.9024271386828306]",0.5994984351219097,"[0.5977074411657574, 0.6008940679107593]",0.5289223346461273,"[0.5281997556629243, 0.5295706101651939]",0.07057610047578246,"[0.06950768550283304, 0.07189742980049561]",0.35104916061606,"[0.34971562906976805, 0.3521811552116319]"
fda,half,3,0.935085027033284,"[0.9342548194077216, 0.9358311294114656]",0.7343046552657616,"[0.7313442591441647, 0.7361214760201106]",0.6392259852061909,"[0.6379527775110927, 0.6400900200295758]",0.09507867005957076,"[0.09339148163307184, 0.09648631794220644]",0.3927933801382209,"[0.3911147254787274, 0.3948891148010534]"
fda,kl_control,3,0.9851165008858226,"[0.985085212078977, 0.9851397310429312]",1.8653289873341448,"[1.8603602470764018, 1.870515634775482]",0.5094657462404252,"[0.5083794847976971, 0.5111677362700374]",1.3558632410937197,"[1.3515102294228607, 1.3621361499777849]",0.34287655830546915,"[0.3419482525271712, 0.3438111762672175]"
fda,logcosh,1,0.9949919025492623,"[0.9949919025492623, 0.9949919025492623]",2.130629623297871,"[2.130629623297871, 2.130629623297871]",0.7708941100967834,"[0.7708941100967834, 0.7708941100967834]",1.3597355132010875,"[1.3597355132010875, 1.3597355132010875]",0.5262973233177604,"[0.5262973233177604, 0.5262973233177604]"
fda,raw,3,0.9238101517480469,"[0.9222727382926216, 0.926220687718864]",0.939013935902126,"[0.9370013711678742, 0.9405302670981713]",0.7921915845439341,"[0.7890899749720832, 0.7942764557928992]",0.1468223513581917,"[0.1452337136474332, 0.1479113961957908]",0.44372466755581447,"[0.4420285343320527, 0.44500247382781244]"
fda,value,3,0.9559905210650093,"[0.9558301477730157, 0.9561664513132371]",0.8868571862916773,"[0.8771958918515893, 0.8959275055567302]",0.7374588923381191,"[0.7275463109140281, 0.746770060519723]",0.14939829395355828,"[0.1491574450370072, 0.14964958093756126]",0.4651356066951706,"[0.46063577636118813, 0.4715777051407526]"
fresh_wiki,balanced,3,0.9443548160806796,"[0.9439774017489296, 0.9446231784673367]",0.40818786484022035,"[0.4047904258098479, 0.41090577726862804]",0.3658706362539497,"[0.36265041914411317, 0.3684467523024555]",0.042317228586270524,"[0.0421400066657347, 0.042459024966172605]",0.27983947714066676,"[0.2786973804575806, 0.2808575509086242]"
fresh_wiki,exp_control,3,7085901546.81549,"[859718216.3445511, 13163526880.03335]",6939.356194201719,"[3989.548375671364, 9500.349678436723]",0.2623469860265374,"[0.261301593375072, 0.26303099382259065]",6939.093847215692,"[3989.2853446775416, 9500.086970065846]",0.21318242298955178,"[0.2116172958750735, 0.21490433400109432]"
fresh_wiki,factorized,3,0.8975362674759415,"[0.8918689761351059, 0.9032953988108935]",0.3586238705447573,"[0.35486280213739585, 0.3632315741147229]",0.32991396308724635,"[0.3262045003352507, 0.33419023992161034]",0.028709907457510824,"[0.028430086377274913, 0.029041334193112556]",0.24745408611585348,"[0.24167124563288145, 0.25863919283239495]"
fresh_wiki,factorized_both,3,0.8907117512394472,"[0.8832022535474351, 0.8958249111442398]",0.31656060555870624,"[0.3161939585498095, 0.3168510415580128]",0.2888932019647657,"[0.28883160298167454, 0.2889815592029507]",0.027667403593940515,"[0.02732751484013754, 0.028019438576338228]",0.22514115872737983,"[0.22462550896515054, 0.2258918651000269]"
fresh_wiki,half,3,0.9293321132693643,"[0.9283308458691221, 0.9298850102157663]",0.41567466530127034,"[0.41442010308221755, 0.4180416182648687]",0.37287786745259344,"[0.3716242167626932, 0.37517492654833406]",0.04279679784867696,"[0.04258564403546445, 0.04293805779403173]",0.2782589862913507,"[0.2712655186293846, 0.28212013044085194]"
fresh_wiki,kl_control,3,0.9789164250766951,"[0.9786840005556577, 0.9791885644844985]",1.2128152274610473,"[1.2087871949767095, 1.2189441172499558]",0.2740810750999521,"[0.27354770455251576, 0.27460200587310046]",0.9387341523610951,"[0.934185189103609, 0.9448506023757157]",0.2199915146451261,"[0.21791015009230438, 0.22323809668228248]"
fresh_wiki,logcosh,1,0.99239608814168,"[0.99239608814168, 0.99239608814168]",1.5791783078168677,"[1.5791783078168677, 1.5791783078168677]",0.45944916105889044,"[0.45944916105889044, 0.45944916105889044]",1.1197291467579773,"[1.1197291467579773, 1.1197291467579773]",0.44558067973735044,"[0.44558067973735044, 0.44558067973735044]"
fresh_wiki,raw,3,0.9201802784550889,"[0.918232709442263, 0.9211642846259025]",0.6046025078428862,"[0.6023207945756109, 0.6073334455064612]",0.5182437869115099,"[0.5157099836897765, 0.5219305043568873]",0.08635872093137627,"[0.08522992188774503, 0.08844329975680987]",0.3352547092244687,"[0.3327427116311843, 0.3387343588194801]"
fresh_wiki,value,3,0.9504720570956021,"[0.9503832890586593, 0.9505528963381884]",0.487540891952563,"[0.48131497029044046, 0.4918479149961402]",0.42217202825217615,"[0.4160317799814386, 0.4257612731490427]",0.06536886370038686,"[0.06473675894506117, 0.06608664184709752]",0.3426153588297884,"[0.3382415801248553, 0.3479039783248209]"
fresh_wiki2,balanced,3,0.9051183194064047,"[0.9048909684574677, 0.9054147311095331]",0.4157783841762299,"[0.412052240241637, 0.41875371952995055]",0.3705808055709971,"[0.36724098870872196, 0.3731790077079645]",0.045197578605232804,"[0.04481125153291507, 0.04557471182198599]",0.27912844266095543,"[0.27775226649811385, 0.28042763221311284]"
fresh_wiki2,exp_control,3,4882433259447.653,"[9714855882.445389, 14520523843389.246]",17239.84052159829,"[5466.1348133058955, 34988.15541843484]",0.26663944808740253,"[0.265768546466819, 0.26753371268398957]",17239.573882150205,"[5465.8672795932125, 34987.88964988838]",0.21624895884330422,"[0.21540725724206802, 0.21689445189733453]"
fresh_wiki2,factorized,3,0.8480501430676363,"[0.8455805172037609, 0.85144712090672]",0.36469580051477735,"[0.3627002624285047, 0.3679736927731389]",0.33474658669199253,"[0.3322713403621224, 0.33801733982277166]",0.029949213822784763,"[0.029462366451604823, 0.030428922066382265]",0.2498832084630862,"[0.24541632717884537, 0.2567768526639521]"
fresh_wiki2,factorized_both,3,0.831180839478305,"[0.8269806908388495, 0.8362320777767858]",0.32149758797722855,"[0.32137783279256144, 0.3217170539613087]",0.29271545533402443,"[0.29242096123838646, 0.2930400094106863]",0.02878213264320406,"[0.028357867767129088, 0.029296092722922218]",0.22748008206919468,"[0.2263670432465608, 0.2282842714056239]"
fresh_wiki2,half,3,0.8823924801098193,"[0.8819221114883964, 0.8832808138496642]",0.42032067477856216,"[0.4186480789751901, 0.42267419170150466]",0.375843082656458,"[0.3742755939861363, 0.3778826956405036]",0.04447759212210426,"[0.04426879531625784, 0.04479149606100109]",0.27677354039707547,"[0.2730549652014349, 0.27884206499797143]"
fresh_wiki2,kl_control,3,0.9597377669428914,"[0.9594749601181827, 0.9600613506470161]",1.226495324699793,"[1.2225776460377191, 1.2311252948882139]",0.27892394966099976,"[0.27786829601945895, 0.27997238381378814]",0.9475713750387932,"[0.943646476887967, 0.9532569988687551]",0.22134842832642895,"[0.21971675936758128, 0.22367721713151284]"
fresh_wiki2,logcosh,1,0.9915513802208498,"[0.9915513802208498, 0.9915513802208498]",1.6083558228233112,"[1.6083558228233112, 1.6083558228233112]",0.46906188538674704,"[0.46906188538674704, 0.46906188538674704]",1.1392939374365645,"[1.1392939374365645, 1.1392939374365645]",0.4448243926921558,"[0.4448243926921558, 0.4448243926921558]"
fresh_wiki2,raw,3,0.8629887911994459,"[0.8597284433511208, 0.8685618040350501]",0.6106674476663723,"[0.6068051072558738, 0.6130290881689378]",0.5188180319525832,"[0.5161910068302801, 0.5223970830119447]",0.09184941571378902,"[0.0889391012403487, 0.09683808133865768]",0.3318087561614275,"[0.33118489128181383, 0.33288624977479475]"
fresh_wiki2,value,3,0.9153932341692066,"[0.9153577342088741, 0.9154610242463483]",0.4978964439926236,"[0.49062984872625803, 0.5031945874309619]",0.4290874489952831,"[0.4222879270276676, 0.43350382675540844]",0.06880899499734043,"[0.06834192169859046, 0.06969076067555346]",0.3430378753841641,"[0.3386783624431643, 0.34842764159509]"
fresh_wiki3,aderf,5,52.213358961176404,"[2.4016343495626686, 179.298328654193]",6.82930730921318,"[5.936526129435649, 7.380912657037939]",2.141736572308978,"[2.0029256561239643, 2.3135537897281457]",4.687570736904204,"[3.9336004733116843, 5.0673588673097925]",1.9195761183618232,"[1.702764845047306, 2.4047587330944964]"
fresh_wiki3,balanced,3,0.9211414313955854,"[0.9208641468477751, 0.9216445540871148]",0.41045991688797256,"[0.4063761012611903, 0.41301873054647537]",0.3682307078600022,"[0.36453167532531616, 0.37043413182338153]",0.04222920902797037,"[0.04184442593587408, 0.042584598723093815]",0.2804576403317007,"[0.2789917094027468, 0.2822709751792779]"
fresh_wiki3,centered_favor_plus,5,17.675948922653312,"[3.1846723586461376, 37.6735595148589]",5.937142436045926,"[5.643022590183616, 6.099885875432239]",1.8412284455927987,"[1.7729559439698472, 1.8925711461587122]",4.095913990453127,"[3.7995097406003664, 4.243231045853502]",1.3399407395216634,"[1.2302192374934664, 1.4520579415664896]"
fresh_wiki3,exp_control,3,4640933360.959769,"[847836318.7822733, 9238498871.4111]",8114.168319107335,"[4868.002004212151, 10289.502264299408]",0.2633083979283315,"[0.2621291807072206, 0.2643766837975153]",8113.905010709405,"[4867.737627528354, 10289.240135118702]",0.21673854904206388,"[0.21584438489389512, 0.21750677736352633]"
fresh_wiki3,factorized_both,3,0.7752660797199938,"[0.766157569431407, 0.7808473761838746]",0.3184199010885416,"[0.3177751581203968, 0.3190367903133101]",0.29063630261599477,"[0.29023560383741775, 0.29116512475007916]",0.027783598472546866,"[0.027539554282979068, 0.0279395755714306]",0.22989029325781504,"[0.22945052713473466, 0.23055346663296572]"
fresh_wiki3,favor_plus,5,1.0185445989659312,"[1.0001350461140752, 1.0913560305429315]",13.958209691985155,"[13.0060295153398, 14.624308873487644]",2.6689834139500648,"[2.4614458047943977, 2.850907934258138]",11.289226278035091,"[10.544583710545401, 11.938871220157628]",1.908213647020542,"[1.6812251513568746, 2.21033175075166]"
fresh_wiki3,gauge_calibrated,3,0.7933646042784636,"[0.7552592234960328, 0.8261398525852484]",0.3276359309040761,"[0.32473355620482514, 0.32916906967920434]",0.2633083979283315,"[0.2621291807072206, 0.2643766837975153]",0.0643275329757446,"[0.0626043754976045, 0.06574974039894563]",0.21673854904206388,"[0.21584438489389512, 0.21750677736352633]"
fresh_wiki3,global_bal,3,2.21476029654798,"[1.402047217661179, 3.3276071472535493]",1.8462283151019079,"[1.5405256110249954, 2.1084649077014674]",0.2633083979283315,"[0.2621291807072206, 0.2643766837975153]",1.5829199171735764,"[1.2761489272274802, 1.8463357269942469]",0.21673854904206388,"[0.21584438489389512, 0.21750677736352633]"
fresh_wiki3,global_raw,3,1.938749940418786,"[1.273461712062122, 2.923730460123994]",2.2990879410259057,"[1.9963407233459667, 2.6035681377105986]",0.2633083979283315,"[0.2621291807072206, 0.2643766837975153]",2.0357795430975743,"[1.731964039548452, 2.341438957003378]",0.21673854904206388,"[0.21584438489389512, 0.21750677736352633]"
fresh_wiki3,kl_control,3,0.9735494476605439,"[0.9732551177798621, 0.9738414029059751]",1.2135835691669166,"[1.2106647027741975, 1.218677015813725]",0.27642415266678205,"[0.27567778927710274, 0.2771194847620369]",0.9371594165001346,"[0.934189518812991, 0.942999226536622]",0.22410522998245053,"[0.22256036582158037, 0.2262608615395426]"
fresh_wiki3,raw,3,0.8645923955811444,"[0.8628133538618368, 0.8674457493143106]",0.6119371338274838,"[0.6084214754940216, 0.6144023857492189]",0.5215547155365666,"[0.5190715660137992, 0.5254774196356943]",0.09038241829091721,"[0.08751012060351684, 0.0953308197354197]",0.3377612117456201,"[0.3365847806771209, 0.33968211456141695]"
