dataset,method,reference,nll_difference,paired_document_95ci,documents,seeds,uncertainty_scope
fresh_wiki2,factorized_both,raw,-0.0009613058840234751,"[-0.0013283038589482147, -0.0005981231496358796]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki2,factorized_both,balanced,-0.000798827658096947,"[-0.001051483334352568, -0.0005474421428516302]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki2,factorized_both,kl_control,0.0003161709755659242,"[0.00011235789861532993, 0.0005187869460011726]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde,factorized_both,raw,-0.0008260309696197324,"[-0.0013324013600746615, -0.00033182963314982273]",96,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde,factorized_both,balanced,0.0001861130197842916,"[-0.0001301819872525159, 0.0005094187955061732]",96,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde,factorized_both,kl_control,0.0003474710716141564,"[7.842255549301835e-05, 0.0006174479921658662]",96,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki3,factorized_both,raw,-0.0009910222142934869,"[-0.001391669075625646, -0.0006121236054847859]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki3,factorized_both,balanced,-0.000872752629220503,"[-0.0011100573077177226, -0.000642105797305733]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki3,factorized_both,kl_control,0.00027997264017660776,"[8.092695691931528e-05, 0.000480308034457258]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
fresh_wiki3,gauge_calibrated,exp_control,0.0,"[0.0, 0.0]",128,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde3,factorized_both,raw,-0.0010507365067800145,"[-0.0017720062037309841, -0.00037079761425658117]",40,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde3,factorized_both,balanced,5.613764127098131e-05,"[-0.00047263696789739235, 0.0006055036683877856]",40,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde3,factorized_both,kl_control,0.00012119015057883153,"[-0.0003573886056741513, 0.0005805917084217754]",40,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
swde3,gauge_calibrated,exp_control,0.0,"[0.0, 0.0]",40,3,"Conditional on the three fixed fits; documents resampled, no claim of population or future-training-seed confidence. Multiple exploratory contrasts, unadjusted intervals."
