dataset,method,seeds,ppl_mean,ppl_seed_range,nll_mean
fda,allocate_spectrum_raw,1,6.791037927307424,"[6.791037927307424, 6.791037927307424]",1.9156037910530965
fda,allocate_spectrum_row_mass,1,6.7921541294722685,"[6.7921541294722685, 6.7921541294722685]",1.915768141547839
fda,allocate_spectrum_sqrt_mass,1,6.791037927307424,"[6.791037927307424, 6.791037927307424]",1.9156037910530965
fda,allocate_uniform,1,6.791037927307424,"[6.791037927307424, 6.791037927307424]",1.9156037910530965
fda,allocate_validation,1,6.7907236333597085,"[6.7907236333597085, 6.7907236333597085]",1.9155575092881918
fda,balanced,3,6.793256507929409,"[6.792185205532428, 6.794550912061177]",1.9159304197463725
fda,exp_control,3,6.783609465154139,"[6.782857870850835, 6.784729843656193]",1.9145093227012289
fda,factorized,3,6.790352698980848,"[6.7901120326066176, 6.7907870416311304]",1.9155028830799792
fda,factorized_both,3,6.786843638131356,"[6.785908396995994, 6.787797681634736]",1.9149859725601142
fda,favor_plus,1,6.891174650908319,"[6.891174650908319, 6.891174650908319]",1.9302415568381548
fda,half,3,6.790574297907171,"[6.789737497820971, 6.791037927307424]",1.915535514139467
fda,kl_control,3,6.7853521406292066,"[6.784932645570305, 6.785988474430554]",1.9147661895387704
fda,old_mlp,1,6.803397012647756,"[6.803397012647756, 6.803397012647756]",1.9174220481266577
fda,raw,3,6.8010149824541655,"[6.79898565631044, 6.803171436518069]",1.9170718315160935
fda,teacher,1,6.720147422811183,"[6.720147422811183, 6.720147422811183]",1.9051100922127564
fda,value,3,6.804698624920479,"[6.802420630199556, 6.8063946202862375]",1.9176133175690968
fresh_wiki,allocate_spectrum_raw,1,8.818294155746983,"[8.818294155746983, 8.818294155746983]",2.1768284449353814
fresh_wiki,allocate_spectrum_row_mass,1,8.818833687603316,"[8.818833687603316, 8.818833687603316]",2.1768896263092756
fresh_wiki,allocate_spectrum_sqrt_mass,1,8.818294155746983,"[8.818294155746983, 8.818294155746983]",2.1768284449353814
fresh_wiki,allocate_uniform,1,8.818294155746983,"[8.818294155746983, 8.818294155746983]",2.1768284449353814
fresh_wiki,allocate_validation,1,8.814426045351663,"[8.814426045351663, 8.814426045351663]",2.1763897025957704
fresh_wiki,balanced,3,8.819855398678683,"[8.81851855355978, 8.821173234424414]",2.1770054676259556
fresh_wiki,exp_control,3,8.80837488221073,"[8.807615081088175, 8.808945360966298]",2.175702958057324
fresh_wiki,factorized,3,8.816232232645449,"[8.813819407453439, 8.818859123855036]",2.176594566864272
fresh_wiki,factorized_both,3,8.810545102986682,"[8.810239197380323, 8.81081577745891]",2.1759493108838797
fresh_wiki,favor_plus,1,8.917074804254455,"[8.917074804254455, 8.917074804254455]",2.1879679560661316
fresh_wiki,half,3,8.816822841895586,"[8.813548555444314, 8.818625814495462]",2.176661548515161
fresh_wiki,kl_control,3,8.808158656178344,"[8.8073027266399, 8.809477831098366]",2.1756784062211714
fresh_wiki,old_mlp,1,8.825965107766649,"[8.825965107766649, 8.825965107766649]",2.177697957493365
fresh_wiki,raw,3,8.819733120348502,"[8.81837520702302, 8.82078365433135]",2.176991604578992
fresh_wiki,teacher,1,8.77321298521709,"[8.77321298521709, 8.77321298521709]",2.1717031002044678
fresh_wiki,value,3,8.827684029604981,"[8.827076546798567, 8.828321617421967]",2.177892694249749
fresh_wiki2,allocate_spectrum_raw,1,8.930945124883351,"[8.930945124883351, 8.930945124883351]",2.1895222263410687
fresh_wiki2,allocate_spectrum_row_mass,1,8.93315208763586,"[8.93315208763586, 8.93315208763586]",2.1897693099454045
fresh_wiki2,allocate_spectrum_sqrt_mass,1,8.930945124883351,"[8.930945124883351, 8.930945124883351]",2.1895222263410687
fresh_wiki2,allocate_uniform,1,8.930945124883351,"[8.930945124883351, 8.930945124883351]",2.1895222263410687
fresh_wiki2,allocate_validation,1,8.930348756899535,"[8.930348756899535, 8.930348756899535]",2.1894554486498237
fresh_wiki2,balanced,3,8.933208331408144,"[8.932437017706931, 8.933603473124588]",2.189775604133805
fresh_wiki2,exp_control,3,8.922930128259646,"[8.92180488868066, 8.923804559490716]",2.1886243779833117
fresh_wiki2,factorized,3,8.92875630499492,"[8.92640105893122, 8.931583955339224]",2.189277084854742
fresh_wiki2,factorized_both,3,8.926075081944608,"[8.925454225894761, 8.92652956775683]",2.1889767764757075
fresh_wiki2,favor_plus,1,9.030474413289564,"[9.030474413289564, 9.030474413289564]",2.200604903511703
fresh_wiki2,half,3,8.930238990060937,"[8.929396548700543, 8.930945124883351]",2.189443154570957
fresh_wiki2,kl_control,3,8.923253442758726,"[8.921832990027722, 8.924940238678868]",2.1886606055001416
fresh_wiki2,old_mlp,1,8.941632656957342,"[8.941632656957342, 8.941632656957342]",2.1907181963324547
fresh_wiki2,raw,3,8.93465993904711,"[8.933668394840064, 8.936006806292783]",2.189938082359731
fresh_wiki2,teacher,1,8.879752816500382,"[8.879752816500382, 8.879752816500382]",2.183773720636964
fresh_wiki2,value,3,8.942483153593637,"[8.941174920216202, 8.943736841925883]",2.1908133014415703
fresh_wiki3,balanced,3,8.636213341924543,"[8.635550841763388, 8.636553242691441]",2.1559642146651945
fresh_wiki3,exp_control,3,8.625094512377373,"[8.62417695383885, 8.625805436864963]",2.154675917699933
fresh_wiki3,factorized_both,3,8.628679506229567,"[8.62671188580441, 8.630852213808778]",2.155091462035974
fresh_wiki3,favor_plus,1,8.719515014441756,"[8.719515014441756, 8.719515014441756]",2.1655636187642813
fresh_wiki3,gauge_calibrated,3,8.625094512377373,"[8.62417695383885, 8.625805436864963]",2.154675917699933
fresh_wiki3,kl_control,3,8.626263937153466,"[8.625086846379373, 8.62744418267059]",2.1548114893957973
fresh_wiki3,old_mlp,1,8.645204334382013,"[8.645204334382013, 8.645204334382013]",2.1570047549903393
fresh_wiki3,raw,3,8.637235036551528,"[8.634419949627675, 8.639289869680242]",2.1560824842502675
fresh_wiki3,teacher,1,8.588208201412836,"[8.588208201412836, 8.588208201412836]",2.1503901230171323
internal,allocate_spectrum_raw,1,8.65833445779501,"[8.65833445779501, 8.65833445779501]",2.1585223781876266
internal,allocate_spectrum_row_mass,1,8.658452535393494,"[8.658452535393494, 8.658452535393494]",2.1585360155440867
internal,allocate_spectrum_sqrt_mass,1,8.65833445779501,"[8.65833445779501, 8.65833445779501]",2.1585223781876266
