folder,objective,method,m,steps,split,metric,layer,head,seeds,documents,mean,seed_std,parameters,training_seconds,feature_pair_ms
fits,raw,kan_positive,64,2000,validation,kernel_nmse,14,0,3,12,0.9199921008613375,0.00023946443873209655,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,kernel_nmse,14,6,3,12,0.8405115082859993,0.0022869968970538005,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,kernel_nmse,27,0,3,12,0.9120760957400004,0.02121391630667846,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,kernel_nmse,27,6,3,12,0.8901780479484134,0.02082315751858957,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,attention_nmse,14,0,3,12,0.25710274941391414,0.049657352813840185,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,attention_nmse,14,6,3,12,0.27202343547509783,0.055294153394265376,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,attention_nmse,27,0,3,12,0.8834179606702591,0.013460065862056739,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,attention_nmse,27,6,3,12,0.8705710719029108,0.014619813421501,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,output_nmse,14,0,3,12,0.9048596587446002,0.09704676267854724,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,output_nmse,14,6,3,12,0.7806383172671,0.09486451902065517,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,output_nmse,27,0,3,12,0.29496583839257556,0.009644419248969886,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,output_nmse,27,6,3,12,0.46958668778340024,0.027884816089316113,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,row_l1,14,0,3,12,0.9538521120945612,0.13824681592817192,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,row_l1,14,6,3,12,1.0896182159582775,0.08502385478538672,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,row_l1,27,0,3,12,1.1016124536593754,0.03371233132995656,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,row_l1,27,6,3,12,1.1155563394228618,0.0311776574951205,73888,22.641880912085373,2.069538158840603
