loss,training_documents,budget_scale,method,seed,parameters,split,metric,layer,head,value
logcosh,4096,1,kan,11,73856,train,logcosh,14,0,1.211639507970642
logcosh,4096,1,kan,11,73856,train,logcosh,14,6,1.18746429790079
logcosh,4096,1,kan,11,73856,train,logcosh,27,0,0.4395497421659581
logcosh,4096,1,kan,11,73856,train,logcosh,27,6,0.4873332362935034
logcosh,4096,1,kan,29,73856,train,logcosh,14,0,1.2272960126252577
logcosh,4096,1,kan,29,73856,train,logcosh,14,6,1.199430808997181
logcosh,4096,1,kan,29,73856,train,logcosh,27,0,0.4433392086409595
logcosh,4096,1,kan,29,73856,train,logcosh,27,6,0.47391336520221194
logcosh,4096,1,kan,47,73856,train,logcosh,14,0,1.2270508408754899
logcosh,4096,1,kan,47,73856,train,logcosh,14,6,1.1691881394293837
logcosh,4096,1,kan,47,73856,train,logcosh,27,0,0.4540066838277121
logcosh,4096,1,kan,47,73856,train,logcosh,27,6,0.4838357990880988
logcosh,4096,1,kan,11,73856,train,log_mae,14,0,1.7575764846936197
logcosh,4096,1,kan,11,73856,train,log_mae,14,6,1.731294749721188
logcosh,4096,1,kan,11,73856,train,log_mae,27,0,0.8665269378541399
logcosh,4096,1,kan,11,73856,train,log_mae,27,6,0.9273246928465608
logcosh,4096,1,kan,29,73856,train,log_mae,14,0,1.774321284753758
logcosh,4096,1,kan,29,73856,train,log_mae,14,6,1.74403658857547
logcosh,4096,1,kan,29,73856,train,log_mae,27,0,0.8713933662091847
logcosh,4096,1,kan,29,73856,train,log_mae,27,6,0.9110860005364243
logcosh,4096,1,kan,47,73856,train,log_mae,14,0,1.7741831723253627
logcosh,4096,1,kan,47,73856,train,log_mae,14,6,1.71175406783192
logcosh,4096,1,kan,47,73856,train,log_mae,27,0,0.8851178506496082
logcosh,4096,1,kan,47,73856,train,log_mae,27,6,0.9231543467308729
logcosh,4096,1,kan,11,73856,train,factor2,14,0,0.25936079025268555
logcosh,4096,1,kan,11,73856,train,factor2,14,6,0.2631831169128418
logcosh,4096,1,kan,11,73856,train,factor2,27,0,0.507896900177002
logcosh,4096,1,kan,11,73856,train,factor2,27,6,0.4790658950805664
logcosh,4096,1,kan,29,73856,train,factor2,14,0,0.2574949264526367
logcosh,4096,1,kan,29,73856,train,factor2,14,6,0.26165151596069336
logcosh,4096,1,kan,29,73856,train,factor2,27,0,0.5053815841674805
logcosh,4096,1,kan,29,73856,train,factor2,27,6,0.48528051376342773
logcosh,4096,1,kan,47,73856,train,factor2,14,0,0.25722455978393555
logcosh,4096,1,kan,47,73856,train,factor2,14,6,0.26554059982299805
logcosh,4096,1,kan,47,73856,train,factor2,27,0,0.4986443519592285
logcosh,4096,1,kan,47,73856,train,factor2,27,6,0.4801449775695801
logcosh,4096,1,kan,11,73856,train,factor10,14,0,0.7155900001525879
logcosh,4096,1,kan,11,73856,train,factor10,14,6,0.7226066589355469
logcosh,4096,1,kan,11,73856,train,factor10,27,0,0.9496603012084961
logcosh,4096,1,kan,11,73856,train,factor10,27,6,0.9372196197509766
logcosh,4096,1,kan,29,73856,train,factor10,14,0,0.7118535041809082
logcosh,4096,1,kan,29,73856,train,factor10,14,6,0.7199063301086426
logcosh,4096,1,kan,29,73856,train,factor10,27,0,0.948542594909668
logcosh,4096,1,kan,29,73856,train,factor10,27,6,0.9413285255432129
logcosh,4096,1,kan,47,73856,train,factor10,14,0,0.7119054794311523
logcosh,4096,1,kan,47,73856,train,factor10,14,6,0.7277374267578125
logcosh,4096,1,kan,47,73856,train,factor10,27,0,0.945950984954834
logcosh,4096,1,kan,47,73856,train,factor10,27,6,0.9384660720825195
logcosh,4096,1,kan,11,73856,train,raw_nmse,14,0,0.9669314484743614
logcosh,4096,1,kan,11,73856,train,raw_nmse,14,6,0.9941687458935224
logcosh,4096,1,kan,11,73856,train,raw_nmse,27,0,0.9897194237617253
logcosh,4096,1,kan,11,73856,train,raw_nmse,27,6,0.993181157851253
logcosh,4096,1,kan,29,73856,train,raw_nmse,14,0,0.9617926265641223
logcosh,4096,1,kan,29,73856,train,raw_nmse,14,6,0.9955349545590177
logcosh,4096,1,kan,29,73856,train,raw_nmse,27,0,0.9902992967667017
logcosh,4096,1,kan,29,73856,train,raw_nmse,27,6,0.9920976588697127
logcosh,4096,1,kan,47,73856,train,raw_nmse,14,0,0.9628091083490685
logcosh,4096,1,kan,47,73856,train,raw_nmse,14,6,0.9949871495169363
logcosh,4096,1,kan,47,73856,train,raw_nmse,27,0,0.9914816550537465
logcosh,4096,1,kan,47,73856,train,raw_nmse,27,6,0.9921342539796238
logcosh,4096,1,kan,11,73856,train,normalized_idiv,14,0,4.6542931546501976
logcosh,4096,1,kan,11,73856,train,normalized_idiv,14,6,5.0174621138204225
logcosh,4096,1,kan,11,73856,train,normalized_idiv,27,0,1.9826204315696043
logcosh,4096,1,kan,11,73856,train,normalized_idiv,27,6,2.219704313683783
logcosh,4096,1,kan,29,73856,train,normalized_idiv,14,0,4.634859493677035
logcosh,4096,1,kan,29,73856,train,normalized_idiv,14,6,5.1810752358531085
logcosh,4096,1,kan,29,73856,train,normalized_idiv,27,0,1.9770202763897442
logcosh,4096,1,kan,29,73856,train,normalized_idiv,27,6,2.0835699108606542
logcosh,4096,1,kan,47,73856,train,normalized_idiv,14,0,4.639561945743732
logcosh,4096,1,kan,47,73856,train,normalized_idiv,14,6,4.981383144467519
logcosh,4096,1,kan,47,73856,train,normalized_idiv,27,0,2.0774952075826167
logcosh,4096,1,kan,47,73856,train,normalized_idiv,27,6,2.1157885673477885
logcosh,4096,1,kan,11,73856,validation,logcosh,14,0,1.2129242524817418
logcosh,4096,1,kan,11,73856,validation,logcosh,14,6,1.1723353087295783
logcosh,4096,1,kan,11,73856,validation,logcosh,27,0,0.4479282112848907
logcosh,4096,1,kan,11,73856,validation,logcosh,27,6,0.49612133213406895
logcosh,4096,1,kan,29,73856,validation,logcosh,14,0,1.2277772097945077
logcosh,4096,1,kan,29,73856,validation,logcosh,14,6,1.1825427739376244
logcosh,4096,1,kan,29,73856,validation,logcosh,27,0,0.4513767070873206
logcosh,4096,1,kan,29,73856,validation,logcosh,27,6,0.4825229083536334
logcosh,4096,1,kan,47,73856,validation,logcosh,14,0,1.2269315571636739
logcosh,4096,1,kan,47,73856,validation,logcosh,14,6,1.1570289975191492
logcosh,4096,1,kan,47,73856,validation,logcosh,27,0,0.46188921917912507
logcosh,4096,1,kan,47,73856,validation,logcosh,27,6,0.4915082607222897
logcosh,4096,1,kan,11,73856,validation,log_mae,14,0,1.759018193372981
logcosh,4096,1,kan,11,73856,validation,log_mae,14,6,1.7145920514724882
logcosh,4096,1,kan,11,73856,validation,log_mae,27,0,0.8777636231710944
logcosh,4096,1,kan,11,73856,validation,log_mae,27,6,0.9383727457471314
logcosh,4096,1,kan,29,73856,validation,log_mae,14,0,1.775117918194269
logcosh,4096,1,kan,29,73856,validation,log_mae,14,6,1.7254202860570391
logcosh,4096,1,kan,29,73856,validation,log_mae,27,0,0.8822968547767289
logcosh,4096,1,kan,29,73856,validation,log_mae,27,6,0.921722778125122
logcosh,4096,1,kan,47,73856,validation,log_mae,14,0,1.7739093471910792
